Title: UV Luminosity Functions at redshifts z ~ 4 to z ~ 10: 
      10000 Galaxies from HST Legacy Fields 
Authors: Bouwens R.J., Illingworth G.D., Oesch P.A., Trenti M., Labbe I., 
        Bradley L., Carollo M., van Dokkum P.G., Gonzalez V., Holwerda B., 
        Franx M., Spitler L., Smit R., Magee D. 
Table: A complete list of the sources included in our z ~ 4, z ~ 5, z ~ 6, 
       z ~ 7, z ~ 8, and z ~ 10 samples
================================================================================
Byte-by-byte Description of file: apj508910t3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label  Explanations
--------------------------------------------------------------------------------
   1- 19 A19    ---      ID     Source identifier
  21- 22 I2     h        RAh    Hour of Right Ascension (J2000)
  24- 25 I2     min      RAm    Minute of Right Ascension (J2000)
  27- 31 F5.2   s        RAs    Second of Right Ascension (J2000)
      33 A1     ---      DE-    Sign of the Declination (J2000)
  34- 35 I2     deg      DEd    Degree of Declination (J2000)
  37- 38 I2     arcmin   DEm    Arcminute of Declination (J2000)
  40- 43 F4.1   arcsec   DEs    Arcsecond of Declination (J2000)
  45- 49 F5.2   mag      F160W  Measured F160W-band AB magnitude 
  51- 52 I2     ---      rset   Sample number (1)
  54- 55 I2     ---      dset   Data set number (2)
  57- 61 F5.2   ---      zphot  Photometric Redshift as estimated by EAZY (3)
      62 A1     ---    f_zphot  [*] Flag on zphot (4)
HUDF092B-3037751535 03 33 03.77 -27 51 53.5 26.39  4  3  3.82
HUDF092B-3036951529 03 33 03.69 -27 51 52.9 27.38  4  3  3.87
HUDF092B-3329515347 03 33 02.95 -27 51 53.4 24.30  4  3  4.32*
HUDF092B-3036151453 03 33 03.61 -27 51 45.3 25.37  4  3  3.49*
HUDF092B-3030551456 03 33 03.05 -27 51 45.6 23.71  4  3  3.54
HUDF092B-3028251486 03 33 02.82 -27 51 48.6 26.66  4  3  4.22
HUDF092B-3024351436 03 33 02.43 -27 51 43.6 27.91  4  3  2.79*
HUDF092B-3011051424 03 33 01.10 -27 51 42.4 26.53  4  3  4.32
HUDF092B-3012351403 03 33 01.23 -27 51 40.3 28.09  4  3  3.45
HUDF092B-3014451384 03 33 01.44 -27 51 38.4 27.90  4  3  4.11*
HUDF092B-3035651403 03 33 03.56 -27 51 40.3 24.56  4  3  3.54*
HUDF092B-3001851334 03 33 00.18 -27 51 33.4 28.08  4  3  3.82
HUDF092B-3015251324 03 33 01.52 -27 51 32.4 27.99  4  3  2.99
HUDF092B-3003151324 03 33 00.31 -27 51 32.4 28.69  4  3  2.83
HUDF092B-3005951314 03 33 00.59 -27 51 31.4 25.34  4  3  3.49*
HUDF092B-3004751305 03 33 00.47 -27 51 30.5 26.42  4  3  3.77
HUDF092B-3013851292 03 33 01.38 -27 51 29.2 26.76  4  3  4.32
HUDF092B-3019251272 03 33 01.92 -27 51 27.2 28.71  4  3  3.03
HUDF092B-3013251237 03 33 01.32 -27 51 23.7 28.13  4  3  3.87*
HUDF092B-3002151225 03 33 00.21 -27 51 22.5 26.96  4  3  4.01
HUDF092B-3010651241 03 33 01.06 -27 51 24.1 27.25  4  3  3.72
HUDF092B-3037951190 03 33 03.79 -27 51 19.0 29.64  4  3  3.87
HUDF092B-3017951187 03 33 01.79 -27 51 18.7 28.12  4  3  3.91
HUDF092B-3019351185 03 33 01.93 -27 51 18.5 28.05  4  3  3.19
HUDF092B-3036551170 03 33 03.65 -27 51 17.0 27.69  4  3  3.72
HUDF092B-3002851160 03 33 00.28 -27 51 16.0 26.55  4  3  3.49
HUDF092B-3008751128 03 33 00.87 -27 51 12.8 26.63  4  3  3.58
HUDF092B-3030651151 03 33 03.06 -27 51 15.1 27.28  4  3  3.54
HUDF092B-3012451108 03 33 01.24 -27 51 10.8 28.48  4  3  3.91
HUDF092B-3025351095 03 33 02.53 -27 51 09.5 29.67  4  3  3.58
HUDF092B-2598451518 03 32 59.84 -27 51 51.8 26.58  4  3  4.27*
HUDF092B-2590851501 03 32 59.08 -27 51 50.1 28.67  4  3  3.54
HUDF092B-2592551388 03 32 59.25 -27 51 38.8 26.81  4  3  3.82
HUDF092B-2592351379 03 32 59.23 -27 51 37.9 26.79  4  3  3.19
HUDF092B-2592851352 03 32 59.28 -27 51 35.2 26.73  4  3  3.72
HUDF092B-2599051316 03 32 59.90 -27 51 31.6 26.86  4  3  4.37
HUDF092B-3059351043 03 33 05.93 -27 51 04.3 29.07  4  3  3.54
HUDF092B-3058351041 03 33 05.83 -27 51 04.1 27.63  4  3  4.27
HUDF092B-3072951036 03 33 07.29 -27 51 03.6 27.77  4  3  2.79*
HUDF092B-3054551021 03 33 05.45 -27 51 02.1 25.02  4  3  4.22*
HUDF092B-3063350596 03 33 06.33 -27 50 59.6 29.65  4  3  3.58
HUDF092B-3053850593 03 33 05.38 -27 50 59.3 28.53  4  3  3.82
HUDF092B-3050950583 03 33 05.09 -27 50 58.3 26.22  4  3  4.11
HUDF092B-3060150545 03 33 06.01 -27 50 54.5 28.72  4  3  3.58
HUDF092B-3040650531 03 33 04.06 -27 50 53.1 29.00  4  3  3.23*
HUDF092B-3344404542 03 33 04.44 -27 50 45.4 27.11  4  3  3.49
HUDF092B-3053650442 03 33 05.36 -27 50 44.2 28.36  4  3  4.06
HUDF092B-3352804181 03 33 05.28 -27 50 41.8 24.96  4  3  3.45*
HUDF092B-3044250387 03 33 04.42 -27 50 38.7 28.43  4  3  3.58
HUDF092B-3049750382 03 33 04.97 -27 50 38.2 27.84  4  3  2.83
HUDF092B-3052550377 03 33 05.25 -27 50 37.7 26.53  4  3  4.48
HUDF092B-3052950360 03 33 05.29 -27 50 36.0 27.56  4  3  4.43
HUDF092B-3047850337 03 33 04.78 -27 50 33.7 27.08  4  3  4.48
HUDF092B-3053750276 03 33 05.37 -27 50 27.6 26.57  4  3  4.22
HUDF092B-3056650251 03 33 05.66 -27 50 25.1 25.27  4  3  4.54
HUDF092B-3066150216 03 33 06.61 -27 50 21.6 24.96  4  3  4.16*
HUDF092B-3064750194 03 33 06.47 -27 50 19.4 27.06  4  3  3.45
HUDF092B-3067750168 03 33 06.77 -27 50 16.8 26.03  4  3  4.54
HUDF092B-3044950170 03 33 04.49 -27 50 17.0 28.12  4  3  3.96
HUDF092B-3043450122 03 33 04.34 -27 50 12.2 27.47  4  3  3.87
HUDF092B-3057950118 03 33 05.79 -27 50 11.8 26.13  4  3  4.22
HUDF092B-3016151058 03 33 01.61 -27 51 05.8 28.26  4  3  4.37
HUDF092B-3022151015 03 33 02.21 -27 51 01.5 28.11  4  3  3.96*
HUDF092B-3040450594 03 33 04.04 -27 50 59.4 27.53  4  3  3.72
HUDF092B-3014950598 03 33 01.49 -27 50 59.8 26.54  4  3  4.16*
HUDF092B-3028850583 03 33 02.88 -27 50 58.3 28.75  4  3  3.58
HUDF092B-3010650589 03 33 01.06 -27 50 58.9 27.57  4  3  2.83
